,
Lambda & API Gateway (30s wait),Fri Dec 23 2016 15:29:21 GMT-0800 (PST),100,3084106,157,631,225.95,90.23905750837605,179.5,198,233.5,284.80000000000007,629.02,4,0,0,0,0,0
Lambda & API Gateway (10s wait),Fri Dec 23 2016 15:46:43 GMT-0800 (PST),100,1042002,160,471,204.38,67.88752168108657,170.75,180,199.25,262.50000000000006,470.01,0,0,0,0,0,0
Lambda & API Gateway (5s wait),Fri Dec 23 2016 15:55:36 GMT-0800 (PST),100,533009,161,832,219.86,96.37198970655322,179,189,211,283.10000000000025,655.7800000000009,2,0,0,0,0,0
Lambda & API Gateway (2s wait),Fri Dec 23 2016 15:59:21 GMT-0800 (PST),100,224151,98,592,185.85,52.6454888855636,170,176.5,186.25,206.40000000000003,380.1400000000011,1,0,0,0,0,0
Lambda & API Gateway,Fri Dec 23 2016 15:59:35 GMT-0800 (PST),100,13913,84,309,131.93,44.500619096817054,91.75,109.5,173.25,186,210.99000000000052,0,0,0,0,0,0
,
Lambda & API Gateway (30s wait),Sat Dec 24 2016 02:43:07 GMT-0800 (PST),1000,30321429,155,1257,249.296,115.18875111745939,175,198,289.25,399.30000000000007,643.2299999999998,36,1,0,0,0,0
Lambda & API Gateway (10s wait),Sat Dec 24 2016 05:33:25 GMT-0800 (PST),1000,10218659,150,994,187.279,67.3879748842477,161,166,175,210,459.02,5,0,0,0,0,0
Lambda & API Gateway (5s wait),Sat Dec 24 2016 07:00:02 GMT-0800 (PST),1000,5196848,149,607,176.305,42.42447377399041,161,166,174,191,371.0899999999999,1,0,0,0,0,0
Lambda & API Gateway (2s wait),Sat Dec 24 2016 07:36:21 GMT-0800 (PST),1000,2178577,74,459,164.014,42.724253112254594,158,162,168,175,373.03,0,0,0,0,0,0
Lambda & API Gateway (0s wait),Sat Dec 24 2016 07:38:15 GMT-0800 (PST),1000,114419,71,910,109.602,46.07847215349052,81,87,156,165,178,1,0,0,0,0,0
,
